Date,Ticker,Name,Category,Sector,Open,High,Low,Close,Adj_Close,Volume
1990-01-31,BSC,Bear Stearns,Distressed_2008,Financials,13.0,13.0,13.0,13.0,13.0,0
1990-02-28,BSC,Bear Stearns,Distressed_2008,Financials,13.0,13.0,13.0,13.0,13.0,0
1990-03-30,BSC,Bear Stearns,Distressed_2008,Financials,12.5,12.5,12.5,12.5,12.5,0
1990-04-30,BSC,Bear Stearns,Distressed_2008,Financials,12.25,12.25,12.25,12.25,12.25,0
1990-05-31,BSC,Bear Stearns,Distressed_2008,Financials,13.625,13.625,13.625,13.625,13.625,0
1990-06-29,BSC,Bear Stearns,Distressed_2008,Financials,13.5,13.5,13.5,13.5,13.5,0
1990-07-31,BSC,Bear Stearns,Distressed_2008,Financials,12.375,12.375,12.375,12.375,12.375,0
1990-08-31,BSC,Bear Stearns,Distressed_2008,Financials,10.5,10.5,10.5,10.5,10.5,0
1990-09-28,BSC,Bear Stearns,Distressed_2008,Financials,9.0,9.0,9.0,9.0,9.0,0
1990-10-31,BSC,Bear Stearns,Distressed_2008,Financials,8.125,8.125,8.125,8.125,8.125,0
1990-11-30,BSC,Bear Stearns,Distressed_2008,Financials,9.0,9.0,9.0,9.0,9.0,0
1990-12-31,BSC,Bear Stearns,Distressed_2008,Financials,10.125,10.125,10.125,10.125,10.125,0
1991-01-31,BSC,Bear Stearns,Distressed_2008,Financials,11.5,11.5,11.5,11.5,11.5,0
1991-02-28,BSC,Bear Stearns,Distressed_2008,Financials,13.0,13.0,13.0,13.0,13.0,0
1991-03-28,BSC,Bear Stearns,Distressed_2008,Financials,14.625,14.625,14.625,14.625,14.625,0
1991-04-30,BSC,Bear Stearns,Distressed_2008,Financials,15.125,15.125,15.125,15.125,15.125,0
1991-05-31,BSC,Bear Stearns,Distressed_2008,Financials,15.625,15.625,15.625,15.625,15.625,0
1991-06-28,BSC,Bear Stearns,Distressed_2008,Financials,13.625,13.625,13.625,13.625,13.625,0
1991-07-31,BSC,Bear Stearns,Distressed_2008,Financials,15.125,15.125,15.125,15.125,15.125,0
1991-08-30,BSC,Bear Stearns,Distressed_2008,Financials,14.75,14.75,14.75,14.75,14.75,0
1991-09-30,BSC,Bear Stearns,Distressed_2008,Financials,15.0,15.0,15.0,15.0,15.0,0
1991-10-31,BSC,Bear Stearns,Distressed_2008,Financials,15.875,15.875,15.875,15.875,15.875,0
1991-11-29,BSC,Bear Stearns,Distressed_2008,Financials,14.375,14.375,14.375,14.375,14.375,0
1991-12-31,BSC,Bear Stearns,Distressed_2008,Financials,17.0,17.0,17.0,17.0,17.0,0
1992-01-31,BSC,Bear Stearns,Distressed_2008,Financials,18.125,18.125,18.125,18.125,18.125,0
1992-02-28,BSC,Bear Stearns,Distressed_2008,Financials,19.375,19.375,19.375,19.375,19.375,0
1992-03-31,BSC,Bear Stearns,Distressed_2008,Financials,17.875,17.875,17.875,17.875,17.875,0
1992-04-30,BSC,Bear Stearns,Distressed_2008,Financials,17.75,17.75,17.75,17.75,17.75,0
1992-05-29,BSC,Bear Stearns,Distressed_2008,Financials,16.875,16.875,16.875,16.875,16.875,0
1992-06-30,BSC,Bear Stearns,Distressed_2008,Financials,16.5,16.5,16.5,16.5,16.5,0
1992-07-31,BSC,Bear Stearns,Distressed_2008,Financials,15.75,15.75,15.75,15.75,15.75,0
1992-08-31,BSC,Bear Stearns,Distressed_2008,Financials,15.375,15.375,15.375,15.375,15.375,0
1992-09-30,BSC,Bear Stearns,Distressed_2008,Financials,15.625,15.625,15.625,15.625,15.625,0
1992-10-30,BSC,Bear Stearns,Distressed_2008,Financials,16.0,16.0,16.0,16.0,16.0,0
1992-11-30,BSC,Bear Stearns,Distressed_2008,Financials,16.625,16.625,16.625,16.625,16.625,0
1992-12-31,BSC,Bear Stearns,Distressed_2008,Financials,17.375,17.375,17.375,17.375,17.375,0
1993-01-29,BSC,Bear Stearns,Distressed_2008,Financials,17.125,17.125,17.125,17.125,17.125,0
1993-02-26,BSC,Bear Stearns,Distressed_2008,Financials,16.875,16.875,16.875,16.875,16.875,0
1993-03-31,BSC,Bear Stearns,Distressed_2008,Financials,18.25,18.25,18.25,18.25,18.25,0
1993-04-30,BSC,Bear Stearns,Distressed_2008,Financials,19.875,19.875,19.875,19.875,19.875,0
1993-05-28,BSC,Bear Stearns,Distressed_2008,Financials,22.375,22.375,22.375,22.375,22.375,0
1993-06-30,BSC,Bear Stearns,Distressed_2008,Financials,23.5,23.5,23.5,23.5,23.5,0
1993-07-30,BSC,Bear Stearns,Distressed_2008,Financials,24.125,24.125,24.125,24.125,24.125,0
1993-08-31,BSC,Bear Stearns,Distressed_2008,Financials,23.75,23.75,23.75,23.75,23.75,0
1993-09-30,BSC,Bear Stearns,Distressed_2008,Financials,24.75,24.75,24.75,24.75,24.75,0
1993-10-29,BSC,Bear Stearns,Distressed_2008,Financials,22.0,22.0,22.0,22.0,22.0,0
1993-11-30,BSC,Bear Stearns,Distressed_2008,Financials,22.25,22.25,22.25,22.25,22.25,0
1993-12-31,BSC,Bear Stearns,Distressed_2008,Financials,21.875,21.875,21.875,21.875,21.875,0
1994-01-31,BSC,Bear Stearns,Distressed_2008,Financials,24.375,24.375,24.375,24.375,24.375,0
1994-02-28,BSC,Bear Stearns,Distressed_2008,Financials,21.625,21.625,21.625,21.625,21.625,0
1994-03-31,BSC,Bear Stearns,Distressed_2008,Financials,19.5,19.5,19.5,19.5,19.5,0
1994-04-29,BSC,Bear Stearns,Distressed_2008,Financials,21.125,21.125,21.125,21.125,21.125,0
1994-05-31,BSC,Bear Stearns,Distressed_2008,Financials,20.375,20.375,20.375,20.375,20.375,0
1994-06-30,BSC,Bear Stearns,Distressed_2008,Financials,17.0,17.0,17.0,17.0,17.0,0
1994-07-29,BSC,Bear Stearns,Distressed_2008,Financials,16.125,16.125,16.125,16.125,16.125,0
1994-08-31,BSC,Bear Stearns,Distressed_2008,Financials,18.25,18.25,18.25,18.25,18.25,0
