Date,Ticker,Name,Category,Sector,Open,High,Low,Close,Adj_Close,Volume
1994-05-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,18.0,18.0,18.0,18.0,18.0,0
1994-06-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,15.0,15.0,15.0,15.0,15.0,0
1994-07-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,15.75,15.75,15.75,15.75,15.75,0
1994-08-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,16.25,16.25,16.25,16.25,16.25,0
1994-09-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,14.75,14.75,14.75,14.75,14.75,0
1994-10-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,15.5,15.5,15.5,15.5,15.5,0
1994-11-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,14.875,14.875,14.875,14.875,14.875,0
1994-12-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,14.75,14.75,14.75,14.75,14.75,0
1995-01-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,17.0,17.0,17.0,17.0,17.0,0
1995-02-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,18.125,18.125,18.125,18.125,18.125,0
1995-03-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,18.0,18.0,18.0,18.0,18.0,0
1995-04-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,19.5,19.5,19.5,19.5,19.5,0
1995-05-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,19.75,19.75,19.75,19.75,19.75,0
1995-06-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,21.875,21.875,21.875,21.875,21.875,0
1995-07-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,22.25,22.25,22.25,22.25,22.25,0
1995-08-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,23.625,23.625,23.625,23.625,23.625,0
1995-09-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,23.25,23.25,23.25,23.25,23.25,0
1995-10-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,21.75,21.75,21.75,21.75,21.75,0
1995-11-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,22.625,22.625,22.625,22.625,22.625,0
1995-12-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,21.25,21.25,21.25,21.25,21.25,0
1996-01-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,25.625,25.625,25.625,25.625,25.625,0
1996-02-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,24.75,24.75,24.75,24.75,24.75,0
1996-03-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,26.75,26.75,26.75,26.75,26.75,0
1996-04-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,25.375,25.375,25.375,25.375,25.375,0
1996-05-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,24.5,24.5,24.5,24.5,24.5,0
1996-06-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,24.75,24.75,24.75,24.75,24.75,0
1996-07-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,23.125,23.125,23.125,23.125,23.125,0
1996-08-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,21.125,21.125,21.125,21.125,21.125,0
1996-09-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,25.875,25.875,25.875,25.875,25.875,0
1996-10-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,25.125,25.125,25.125,25.125,25.125,0
1996-11-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,29.125,29.125,29.125,29.125,29.125,0
1996-12-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,31.375,31.375,31.375,31.375,31.375,0
1997-01-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,31.625,31.625,31.625,31.625,31.625,0
1997-02-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,33.625,33.625,33.625,33.625,33.625,0
1997-03-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,29.25,29.25,29.25,29.25,29.25,0
1997-04-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,34.0,34.0,34.0,34.0,34.0,0
1997-05-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,41.0,41.0,41.0,41.0,41.0,0
1997-06-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,40.5,40.5,40.5,40.5,40.5,0
1997-07-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,49.875,49.875,49.875,49.875,49.875,0
1997-08-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,43.75,43.75,43.75,43.75,43.75,0
1997-09-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,53.5,53.5,53.5,53.5,53.5,0
1997-10-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,47.0625,47.0625,47.0625,47.0625,47.0625,0
1997-11-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,50.5625,50.5625,50.5625,50.5625,50.5625,0
1997-12-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,51.0,51.0,51.0,51.0,51.0,0
1998-01-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,54.3125,54.3125,54.3125,54.3125,54.3125,0
1998-02-27,LEHMQ,Lehman Brothers,Distressed_2008,Financials,63.25,63.25,63.25,63.25,63.25,0
1998-03-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,74.875,74.875,74.875,74.875,74.875,0
1998-04-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,71.0625,71.0625,71.0625,71.0625,71.0625,0
1998-05-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,70.9375,70.9375,70.9375,70.9375,70.9375,0
1998-06-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,77.5625,77.5625,77.5625,77.5625,77.5625,0
1998-07-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,71.875,71.875,71.875,71.875,71.875,0
1998-08-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,39.375,39.375,39.375,39.375,39.375,0
1998-09-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,28.375,28.375,28.375,28.375,28.375,0
1998-10-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,38.0,38.0,38.0,38.0,38.0,0
1998-11-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,50.0,50.0,50.0,50.0,50.0,0
1998-12-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,44.0625,44.0625,44.0625,44.0625,44.0625,0
1999-01-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,54.6875,54.6875,54.6875,54.6875,54.6875,0
1999-02-26,LEHMQ,Lehman Brothers,Distressed_2008,Financials,53.0,53.0,53.0,53.0,53.0,0
1999-03-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,59.75,59.75,59.75,59.75,59.75,0
1999-04-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,55.5625,55.5625,55.5625,55.5625,55.5625,0
1999-05-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,54.625,54.625,54.625,54.625,54.625,0
1999-06-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,62.125,62.125,62.125,62.125,62.125,0
1999-07-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,53.75,53.75,53.75,53.75,53.75,0
1999-08-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,53.75,53.75,53.75,53.75,53.75,0
1999-09-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,58.375,58.375,58.375,58.375,58.375,0
1999-10-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,73.6875,73.6875,73.6875,73.6875,73.6875,0
1999-11-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,76.375,76.375,76.375,76.375,76.375,0
1999-12-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,84.6875,84.6875,84.6875,84.6875,84.6875,0
2000-01-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,71.3125,71.3125,71.3125,71.3125,71.3125,0
2000-02-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,72.5,72.5,72.5,72.5,72.5,0
2000-03-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,97.0,97.0,97.0,97.0,97.0,0
2000-04-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,82.0625,82.0625,82.0625,82.0625,82.0625,0
2000-05-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,77.125,77.125,77.125,77.125,77.125,0
2000-06-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,94.5625,94.5625,94.5625,94.5625,94.5625,0
2000-07-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,112.375,112.375,112.375,112.375,112.375,0
2000-08-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,145.0,145.0,145.0,145.0,145.0,0
2000-09-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,147.75,147.75,147.75,147.75,147.75,0
2000-10-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,129.0,129.0,129.0,129.0,129.0,0
2000-11-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,99.125,99.125,99.125,99.125,99.125,0
2000-12-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,135.25,135.25,135.25,135.25,135.25,0
2001-01-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,164.56,164.56,164.56,164.56,164.56,0
2001-02-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,137.3,137.3,137.3,137.3,137.3,0
2001-03-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,125.4,125.4,125.4,125.4,125.4,0
2001-04-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,145.5,145.5,145.5,145.5,145.5,0
2001-05-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,143.22,143.22,143.22,143.22,143.22,0
2001-06-29,LEHMQ,Lehman Brothers,Distressed_2008,Financials,154.48,154.48,154.48,154.48,154.48,0
2001-07-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,144.0,144.0,144.0,144.0,144.0,0
2001-08-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,131.3,131.3,131.3,131.3,131.3,0
2001-09-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,113.7,113.7,113.7,113.7,113.7,0
2001-10-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,124.92,124.92,124.92,124.92,124.92,0
2001-11-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,132.3,132.3,132.3,132.3,132.3,0
2001-12-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,133.6,133.6,133.6,133.6,133.6,0
2002-01-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,129.54,129.54,129.54,129.54,129.54,0
2002-02-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,113.0,113.0,113.0,113.0,113.0,0
2002-03-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,129.28,129.28,129.28,129.28,129.28,0
2002-04-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,118.0,118.0,118.0,118.0,118.0,0
2002-05-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,122.0,122.0,122.0,122.0,122.0,0
2002-06-28,LEHMQ,Lehman Brothers,Distressed_2008,Financials,125.04,125.04,125.04,125.04,125.04,0
2002-07-31,LEHMQ,Lehman Brothers,Distressed_2008,Financials,113.42,113.42,113.42,113.42,113.42,0
2002-08-30,LEHMQ,Lehman Brothers,Distressed_2008,Financials,114.02,114.02,114.02,114.02,114.02,0
