Date,Ticker,Name,Category,Sector,Open,High,Low,Close,Adj_Close,Volume
2000-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,13.375,13.375,13.375,13.375,13.375,0
2000-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,14.5,14.5,14.5,14.5,14.5,0
2000-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,15.375,15.375,15.375,15.375,15.375,0
2000-09-29,PACW,PacWest Bancorp,Distressed_2023,Financials,15.4375,15.4375,15.4375,15.4375,15.4375,0
2000-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,14.9375,14.9375,14.9375,14.9375,14.9375,0
2000-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,14.875,14.875,14.875,14.875,14.875,0
2000-12-29,PACW,PacWest Bancorp,Distressed_2023,Financials,14.8125,14.8125,14.8125,14.8125,14.8125,0
2001-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,16.625,16.625,16.625,16.625,16.625,0
2001-02-28,PACW,PacWest Bancorp,Distressed_2023,Financials,17.125,17.125,17.125,17.125,17.125,0
2001-03-30,PACW,PacWest Bancorp,Distressed_2023,Financials,21.0,21.0,21.0,21.0,21.0,0
2001-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,17.85,17.85,17.85,17.85,17.85,0
2001-05-31,PACW,PacWest Bancorp,Distressed_2023,Financials,18.6,18.6,18.6,18.6,18.6,0
2001-06-29,PACW,PacWest Bancorp,Distressed_2023,Financials,18.799999,18.799999,18.799999,18.799999,18.799999,0
2001-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,20.25,20.25,20.25,20.25,20.25,0
2001-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,22.049999,22.049999,22.049999,22.049999,22.049999,0
2001-09-28,PACW,PacWest Bancorp,Distressed_2023,Financials,22.950001,22.950001,22.950001,22.950001,22.950001,0
2001-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,20.5,20.5,20.5,20.5,20.5,0
2001-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,19.799999,19.799999,19.799999,19.799999,19.799999,0
2001-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,20.25,20.25,20.25,20.25,20.25,0
2002-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,19.6,19.6,19.6,19.6,19.6,0
2002-02-28,PACW,PacWest Bancorp,Distressed_2023,Financials,20.450001,20.450001,20.450001,20.450001,20.450001,0
2002-03-28,PACW,PacWest Bancorp,Distressed_2023,Financials,26.299999,26.299999,26.299999,26.299999,26.299999,0
2002-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,26.59,26.59,26.59,26.59,26.59,0
2002-05-31,PACW,PacWest Bancorp,Distressed_2023,Financials,25.65,25.65,25.65,25.65,25.65,0
2002-06-28,PACW,PacWest Bancorp,Distressed_2023,Financials,23.209999,23.209999,23.209999,23.209999,23.209999,0
2002-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,29.07,29.07,29.07,29.07,29.07,0
2002-08-30,PACW,PacWest Bancorp,Distressed_2023,Financials,31.5,31.5,31.5,31.5,31.5,0
2002-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,28.940001,28.940001,28.940001,28.940001,28.940001,0
2002-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,31.5,31.5,31.5,31.5,31.5,0
2002-11-29,PACW,PacWest Bancorp,Distressed_2023,Financials,30.77,30.77,30.77,30.77,30.77,0
2002-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,32.93,32.93,32.93,32.93,32.93,0
2003-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,28.67,28.67,28.67,28.67,28.67,0
2003-02-28,PACW,PacWest Bancorp,Distressed_2023,Financials,28.91,28.91,28.91,28.91,28.91,0
2003-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,28.91,28.91,28.91,28.91,28.91,0
2003-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,29.790001,29.790001,29.790001,29.790001,29.790001,0
2003-05-30,PACW,PacWest Bancorp,Distressed_2023,Financials,30.15,30.15,30.15,30.15,30.15,0
2003-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,30.91,30.91,30.91,30.91,30.91,0
2003-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,32.84,32.84,32.84,32.84,32.84,0
2003-08-29,PACW,PacWest Bancorp,Distressed_2023,Financials,34.049999,34.049999,34.049999,34.049999,34.049999,0
2003-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,33.5,33.5,33.5,33.5,33.5,0
2003-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,35.0,35.0,35.0,35.0,35.0,0
2003-11-28,PACW,PacWest Bancorp,Distressed_2023,Financials,36.959999,36.959999,36.959999,36.959999,36.959999,0
2003-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,36.139999,36.139999,36.139999,36.139999,36.139999,0
2004-01-30,PACW,PacWest Bancorp,Distressed_2023,Financials,38.709999,38.709999,38.709999,38.709999,38.709999,0
2004-02-27,PACW,PacWest Bancorp,Distressed_2023,Financials,39.43,39.43,39.43,39.43,39.43,0
2004-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,37.389999,37.389999,37.389999,37.389999,37.389999,0
2004-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,34.25,34.25,34.25,34.25,34.25,0
2004-05-28,PACW,PacWest Bancorp,Distressed_2023,Financials,36.299999,36.299999,36.299999,36.299999,36.299999,0
2004-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,38.439999,38.439999,38.439999,38.439999,38.439999,0
2004-07-30,PACW,PacWest Bancorp,Distressed_2023,Financials,39.75,39.75,39.75,39.75,39.75,0
2004-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,40.709999,40.709999,40.709999,40.709999,40.709999,0
2004-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,41.0,41.0,41.0,41.0,41.0,0
2004-10-29,PACW,PacWest Bancorp,Distressed_2023,Financials,41.970001,41.970001,41.970001,41.970001,41.970001,0
2004-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,42.02,42.02,42.02,42.02,42.02,0
2004-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,42.700001,42.700001,42.700001,42.700001,42.700001,0
2005-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,42.560001,42.560001,42.560001,42.560001,42.560001,0
2005-02-28,PACW,PacWest Bancorp,Distressed_2023,Financials,43.189999,43.189999,43.189999,43.189999,43.189999,0
2005-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,44.299999,44.299999,44.299999,44.299999,44.299999,0
2005-04-29,PACW,PacWest Bancorp,Distressed_2023,Financials,41.349998,41.349998,41.349998,41.349998,41.349998,0
2005-05-31,PACW,PacWest Bancorp,Distressed_2023,Financials,44.18,44.18,44.18,44.18,44.18,0
2005-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,47.5,47.5,47.5,47.5,47.5,0
2005-07-29,PACW,PacWest Bancorp,Distressed_2023,Financials,51.240002,51.240002,51.240002,51.240002,51.240002,0
2005-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,47.200001,47.200001,47.200001,47.200001,47.200001,0
2005-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,47.830002,47.830002,47.830002,47.830002,47.830002,0
2005-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,50.32,50.32,50.32,50.32,50.32,0
2005-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,51.790001,51.790001,51.790001,51.790001,51.790001,0
2005-12-30,PACW,PacWest Bancorp,Distressed_2023,Financials,54.369999,54.369999,54.369999,54.369999,54.369999,0
2006-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,60.099998,60.099998,60.099998,60.099998,60.099998,0
2006-02-28,PACW,PacWest Bancorp,Distressed_2023,Financials,59.720001,59.720001,59.720001,59.720001,59.720001,0
2006-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,57.66,57.66,57.66,57.66,57.66,0
2006-04-28,PACW,PacWest Bancorp,Distressed_2023,Financials,58.0,58.0,58.0,58.0,58.0,0
2006-05-31,PACW,PacWest Bancorp,Distressed_2023,Financials,58.060001,58.060001,58.060001,58.060001,58.060001,0
2006-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,59.080002,59.080002,59.080002,59.080002,59.080002,0
2006-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,54.880001,54.880001,54.880001,54.880001,54.880001,0
2006-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,53.610001,53.610001,53.610001,53.610001,53.610001,0
2006-09-29,PACW,PacWest Bancorp,Distressed_2023,Financials,55.950001,55.950001,55.950001,55.950001,55.950001,0
2006-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,53.470001,53.470001,53.470001,53.470001,53.470001,0
2006-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,54.009998,54.009998,54.009998,54.009998,54.009998,0
2006-12-29,PACW,PacWest Bancorp,Distressed_2023,Financials,52.27,52.27,52.27,52.27,52.27,0
2007-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,53.299999,53.299999,53.299999,53.299999,53.299999,0
2007-02-28,PACW,PacWest Bancorp,Distressed_2023,Financials,54.279999,54.279999,54.279999,54.279999,54.279999,0
2007-03-30,PACW,PacWest Bancorp,Distressed_2023,Financials,56.540001,56.540001,56.540001,56.540001,56.540001,0
2007-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,54.860001,54.860001,54.860001,54.860001,54.860001,0
2007-05-31,PACW,PacWest Bancorp,Distressed_2023,Financials,56.48,56.48,56.48,56.48,56.48,0
2007-06-29,PACW,PacWest Bancorp,Distressed_2023,Financials,57.209999,57.209999,57.209999,57.209999,57.209999,0
2007-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,50.220001,50.220001,50.220001,50.220001,50.220001,0
2007-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,54.259998,54.259998,54.259998,54.259998,54.259998,0
2007-09-28,PACW,PacWest Bancorp,Distressed_2023,Financials,54.709999,54.709999,54.709999,54.709999,54.709999,0
2007-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,48.700001,48.700001,48.700001,48.700001,48.700001,0
2007-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,44.990002,44.990002,44.990002,44.990002,44.990002,0
2007-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,41.240002,41.240002,41.240002,41.240002,41.240002,0
2008-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,35.529999,35.529999,35.529999,35.529999,35.529999,0
2008-02-29,PACW,PacWest Bancorp,Distressed_2023,Financials,28.5,28.5,28.5,28.5,28.5,0
2008-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,26.85,26.85,26.85,26.85,26.85,0
2008-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,21.49,21.49,21.49,21.49,21.49,0
2008-05-30,PACW,PacWest Bancorp,Distressed_2023,Financials,21.08,21.08,21.08,21.08,21.08,0
2008-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,14.88,14.88,14.88,14.88,14.88,0
2008-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,18.620001,18.620001,18.620001,18.620001,18.620001,0
2008-08-29,PACW,PacWest Bancorp,Distressed_2023,Financials,22.68,22.68,22.68,22.68,22.68,0
2008-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,28.59,28.59,28.59,28.59,28.59,0
2008-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,24.99,24.99,24.99,24.99,24.99,0
2008-11-28,PACW,PacWest Bancorp,Distressed_2023,Financials,26.6,26.6,26.6,26.6,26.6,0
2008-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,26.9,26.9,26.9,26.9,26.9,0
2009-01-30,PACW,PacWest Bancorp,Distressed_2023,Financials,16.91,16.91,16.91,16.91,16.91,0
2009-02-27,PACW,PacWest Bancorp,Distressed_2023,Financials,13.68,13.68,13.68,13.68,13.68,0
2009-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,14.33,14.33,14.33,14.33,14.33,0
2009-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,14.57,14.57,14.57,14.57,14.57,0
2009-05-29,PACW,PacWest Bancorp,Distressed_2023,Financials,14.13,14.13,14.13,14.13,14.13,0
2009-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,13.16,13.16,13.16,13.16,13.16,0
2009-07-31,PACW,PacWest Bancorp,Distressed_2023,Financials,16.08,16.08,16.08,16.08,16.08,0
2009-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,19.709999,19.709999,19.709999,19.709999,19.709999,0
2009-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,19.049999,19.049999,19.049999,19.049999,19.049999,0
2009-10-30,PACW,PacWest Bancorp,Distressed_2023,Financials,16.98,16.98,16.98,16.98,16.98,0
2009-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,18.4,18.4,18.4,18.4,18.4,0
2009-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,20.15,20.15,20.15,20.15,20.15,0
2010-01-29,PACW,PacWest Bancorp,Distressed_2023,Financials,20.75,20.75,20.75,20.75,20.75,0
2010-02-26,PACW,PacWest Bancorp,Distressed_2023,Financials,20.299999,20.299999,20.299999,20.299999,20.299999,0
2010-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,22.82,22.82,22.82,22.82,22.82,0
2010-04-30,PACW,PacWest Bancorp,Distressed_2023,Financials,24.01,24.01,24.01,24.01,24.01,0
2010-05-28,PACW,PacWest Bancorp,Distressed_2023,Financials,20.84,20.84,20.84,20.84,20.84,0
2010-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,18.309999,18.309999,18.309999,18.309999,18.309999,0
2010-07-30,PACW,PacWest Bancorp,Distressed_2023,Financials,20.93,20.93,20.93,20.93,20.93,0
2010-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,17.059999,17.059999,17.059999,17.059999,17.059999,0
2010-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,19.059999,19.059999,19.059999,19.059999,19.059999,0
2010-10-29,PACW,PacWest Bancorp,Distressed_2023,Financials,17.43,17.43,17.43,17.43,17.43,0
2010-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,17.0,17.0,17.0,17.0,17.0,0
2010-12-31,PACW,PacWest Bancorp,Distressed_2023,Financials,21.379999,21.379999,21.379999,21.379999,21.379999,0
2011-01-31,PACW,PacWest Bancorp,Distressed_2023,Financials,19.73,19.73,19.73,19.73,19.73,0
2011-02-28,PACW,PacWest Bancorp,Distressed_2023,Financials,20.709999,20.709999,20.709999,20.709999,20.709999,0
2011-03-31,PACW,PacWest Bancorp,Distressed_2023,Financials,21.75,21.75,21.75,21.75,21.75,0
2011-04-29,PACW,PacWest Bancorp,Distressed_2023,Financials,22.98,22.98,22.98,22.98,22.98,0
2011-05-31,PACW,PacWest Bancorp,Distressed_2023,Financials,21.1,21.1,21.1,21.1,21.1,0
2011-06-30,PACW,PacWest Bancorp,Distressed_2023,Financials,20.57,20.57,20.57,20.57,20.57,0
2011-07-29,PACW,PacWest Bancorp,Distressed_2023,Financials,19.85,19.85,19.85,19.85,19.85,0
2011-08-31,PACW,PacWest Bancorp,Distressed_2023,Financials,16.049999,16.049999,16.049999,16.049999,16.049999,0
2011-09-30,PACW,PacWest Bancorp,Distressed_2023,Financials,13.94,13.94,13.94,13.94,13.94,0
2011-10-31,PACW,PacWest Bancorp,Distressed_2023,Financials,17.639999,17.639999,17.639999,17.639999,17.639999,0
2011-11-30,PACW,PacWest Bancorp,Distressed_2023,Financials,18.68,18.68,18.68,18.68,18.68,0
2011-12-30,PACW,PacWest Bancorp,Distressed_2023,Financials,18.950001,18.950001,18.950001,18.950001,18.950001,0
